list_name,keyword,alert_frequency,member_site_id,partner_site_id,alert_recipient
BBBS Utah Safety Alert Standard Keywords,Joint,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Pills,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Shots,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Faded,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Oxy,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Shoot,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Bud,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Dab,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Whore,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Blood,daily,231,all,
BBBS Utah Safety Alert Standard Keywords,Dabbing,daily,231,all,
BBBS Central Illinois Safety Alert Standard Keywords,Phone,daily,246,all,
BBBS Central Illinois Safety Alert Standard Keywords,Number,daily,246,all,
BBBS Central Illinois Safety Alert Standard Keywords,Email,daily,246,all,
BBBS Central Illinois Safety Alert Standard Keywords,Selfie ,daily,246,all,
BBBS Central Illinois Safety Alert Standard Keywords,Photo,daily,246,all,
