User_ID|Canvas_Set_ID|Curriculum_ID|Canvas_Start_Date_YYYYMMDD_HHMMSS|Canvas_End_Date_YYYYMMDD_HHMMSS|Curr_Start_Date_YYYYMMDD_HHMMSS|Curr_End_Date_YYYYMMDD_HHMMSS
151198|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
169664|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153527|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153844|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153529|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153532|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153881|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153804|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153538|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153528|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153808|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153618|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153441|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153630|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153627|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153339|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153619|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153526|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153582|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152828|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154605|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150922|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150217|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150330|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154576|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152454|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151077|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151649|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150992|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150912|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154038|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
149923|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152661|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152470|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152229|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
169664|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151198|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153336|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153543|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153331|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153544|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153637|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153554|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154504|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153542|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
158367|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154104|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153625|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153543|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153338|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153330|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153621|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153549|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153431|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153553|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
163348|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153621|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153551|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153437|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153985|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153442|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153628|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151017|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151565|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155450|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153687|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154452|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151453|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155459|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151476|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152804|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152555|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
