Legacy_ID,Legacy_Name,Legacy_ID_Consolidaton,New_Name,New_IDs
4,Communication,,Communication,"127, 160, 330, 363, 566, 599, 945, 978, 1200, 1233, 1397, 1430, 1650, 1683, 1853, 1886, 2113, 2146, 2331, 2364, 2611, 2644, 2814, 2847, 3065, 3098, 3327, 3360, 3569, 3602, 3769, 3802, 4008, 4041, 4211, 4244, 4450, 4483, 4646, 4679, 4894, 4927, 5088, 5121, 5349, 5382, 5548, 5581, 5775, 5808, 5969, 6002, 6240, 6273, 6585, 6618|""Communication"""
59,Communication & Media Studies,4,,
109,Communication/ Radio/ TV,4,,
15,Communicative Disorders & Sciences,53,,
90,Comparative Literature,22,,
10,Computer Science,,Computer Science,"128, 161, 331, 364, 567, 600, 946, 979, 1201, 1234, 1398, 1431, 1651, 1684, 1854, 1887, 2114, 2147, 2332, 2365, 2612, 2645, 2815, 2848, 3066, 3099, 3328, 3361, 3570, 3603, 3770, 3803, 4009, 4042, 4212, 4245, 4451, 4484, 4647, 4680, 4895, 4928, 5089, 5122, 5350, 5383, 5549, 5582, 5776, 5809, 5970, 6003, 6241, 6274, 6586, 6619|""Computer Science"""
70,Creative Writing,22,,
48,Criminal Justice,,Criminal Justice,"129, 162, 332, 365, 568, 601, 947, 980, 1202, 1235, 1399, 1432, 1652, 1685, 1855, 1888, 2115, 2148, 2333, 2366, 2613, 2646, 2816, 2849, 3067, 3100, 3329, 3362, 3571, 3604, 3771, 3804, 4010, 4043, 4213, 4246, 4452, 4485, 4648, 4681, 4896, 4929, 5090, 5123, 5351, 5384, 5550, 5583, 5777, 5810, 5971, 6004, 6242, 6275, 6587, 6620|""Criminal Justice"""
95,Criminal Justice Program,48,,
52,Criminology,48,,
121,Culinary,53,,
27,Cultural Studies,25,,
56,Deaf Studies,53,,
72,Drama,53,,
23,Drama and Theatre Arts,53,,
2,Economics,,Economics,"130, 163, 333, 366, 569, 602, 948, 981, 1203, 1236, 1400, 1433, 1653, 1686, 1856, 1889, 2116, 2149, 2334, 2367, 2614, 2647, 2817, 2850, 3068, 3101, 3330, 3363, 3572, 3605, 3772, 3805, 4011, 4044, 4214, 4247, 4453, 4486, 4649, 4682, 4897, 4930, 5091, 5124, 5352, 5385, 5551, 5584, 5778, 5811, 5972, 6005, 6243, 6276, 6588, 6621|""Economics"""
126,Education,18,,
18,Education (Teaching),,Education (Teaching),"131, 164, 334, 367, 570, 603, 949, 982, 1204, 1237, 1401, 1434, 1654, 1687, 1857, 1890, 2117, 2150, 2335, 2368, 2615, 2648, 2818, 2851, 3069, 3102, 3331, 3364, 3573, 3606, 3773, 3806, 4012, 4045, 4215, 4248, 4454, 4487, 4650, 4683, 4898, 4931, 5092, 5125, 5353, 5386, 5552, 5585, 5779, 5812, 5973, 6006, 6244, 6277, 6589, 6622|""Education (Teaching)"""
104,Education/Education Administration/Higher Education/Teaching,18,,
